ID,Longitude,Latitude,Label,Description,Type,Floor
0,-79.24771931,43.11940493,,,S,0
1,-79.24771798,43.11935939,,,T,4
2,-79.24766377,43.11935778,,,T,4
3,-79.2475943,43.1193111,,,T,4
4,-79.24755957,43.11931127,,,T,4
5,-79.24754342,43.11930723,,,T,4
6,-79.24754297,43.11927315,,,T,4
7,-79.2474943,43.11923859,,,T,4
8,-79.24743014,43.11923924,,,T,4
9,-79.24738191,43.11927638,,,T,4
10,-79.24738014,43.11930723,,,T,4
11,-79.24746443,43.11938216,,,T,4
12,-79.24732903,43.11931272,,,T,4
13,-79.24726509,43.11935568,,,T,4
14,-79.24687858,43.11935503,,,T,4
15,-79.24687437,43.11940251,,,S,0
16,-79.24681353,43.11935455,,,T,4
17,-79.24675136,43.11930997,,,T,4
18,-79.24671795,43.11931078,,,T,4
19,-79.24661662,43.11922228,,,T,4
20,-79.24648963,43.1193103,,,T,4
21,-79.24652016,43.1193111,,,T,4
22,-79.2466195,43.11938248,,,T,4
23,-79.24642348,43.11935535,,,T,4
24,-79.24603608,43.11935745,,,T,4
25,-79.24602635,43.11932063,,,T,4
26,-79.2460425,43.11929835,,,T,4
27,-79.24629604,43.11929738,,,T,4
28,-79.24629552,43.11935893,,,T,4
29,-79.24598387,43.11936924,,,T,4
30,-79.24593342,43.11933355,,,T,4
31,-79.24577169,43.11921712,,,T,4
32,-79.24561196,43.1193342,,,T,4
33,-79.24577214,43.11945112,,,T,4
34,-79.24555841,43.11929512,,,T,4
35,-79.24557665,43.11928103,,,T,4
36,-79.24555512,43.11926749,,,T,4
37,-79.24550882,43.11926925,,,S,0
38,-79.24635783,43.11935648,,,T,4
39,-79.24636434,43.11940278,,,S,0
40,-79.24604465,43.11927657,,,S,0
41,-79.24567321,43.11953632,,,T,4
42,-79.24570082,43.11955699,,,S,0
43,-79.24562904,43.11956929,,,T,4
44,-79.24552808,43.11949539,,,T,4
45,-79.24542386,43.11957259,,,T,4
46,-79.24542259,43.11961166,,,T,4
47,-79.24556873,43.11972025,,,T,4
48,-79.24569287,43.11961748,,,T,4
49,-79.2455498,43.1194779,,,T,4
50,-79.24552011,43.11944407,,,S,0
51,-79.24552524,43.11974227,,,S,0
52,-79.24720247,43.11935688,,,T,4
53,-79.24720943,43.11940208,,,S,0
54,-79.24751601,43.11942328,,,T,4
55,-79.24763635,43.11934843,B401,,R,4
56,-79.24763787,43.11933133,B402,,R,4
57,-79.24757607,43.11930079,B420,,R,4
58,-79.24753732,43.11933802,B403,,R,4
59,-79.24752164,43.11934977,B404,,R,4
60,-79.24755814,43.1193992,B404A,,R,4
61,-79.24753677,43.11940315,B404K,,R,4
62,-79.24752594,43.11942432,B404B,,R,4
63,-79.24751512,43.11943303,B404C,,R,4
64,-79.24749902,43.11942918,B404J,,R,4
65,-79.24748209,43.11945673,B404D,,R,4
66,-79.24747155,43.11946595,B404E,,R,4
67,-79.24746197,43.11946676,B404F,,R,4
68,-79.2474617,43.11945846,B404G,,R,4
69,-79.24747918,43.11940346,B404H,,R,4
70,-79.24741327,43.11941895,B405,,R,4
71,-79.24741868,43.11940943,B405A,,R,4
72,-79.24738093,43.1193231,,,T,4
73,-79.24744532,43.11937965,B406,,R,4
74,-79.24740258,43.11934906,B407,,R,4
75,-79.24727409,43.11934208,B408,,R,4
76,-79.24729088,43.1193282,B409,,R,4
77,-79.24731183,43.11931392,B410,,R,4
78,-79.24737011,43.11928708,B412,,R,4
79,-79.24737108,43.11927624,B413,,R,4
80,-79.24739786,43.11925821,B414,,R,4
81,-79.24742284,43.1192498,B415,,R,4
82,-79.24745739,43.11921374,B416,,R,4
83,-79.24746697,43.11921212,B417,,R,4
84,-79.24750144,43.11923691,B418,,R,4
85,-79.24751068,43.11925642,B421,,R,4
86,-79.24754851,43.11927036,B419,,R,4
87,-79.24713788,43.11937027,C400,,R,4
88,-79.24704248,43.11937359,C402,,R,4
89,-79.24701147,43.11937042,C403,,R,4
90,-79.24694881,43.11936932,C404,,R,4
91,-79.24680437,43.11935798,C405,,R,4
92,-79.24680631,43.11934268,C429,,R,4
93,-79.24679008,43.11933104,C428,,R,4
94,-79.24676732,43.11931503,C427,,R,4
95,-79.24674512,43.11929923,C426,,R,4
96,-79.24671972,43.11928353,C425,,R,4
97,-79.24669946,43.11926733,C423,,R,4
98,-79.24667754,43.1192496,C422,,R,4
99,-79.2466552,43.1192339,C421,,R,4
100,-79.24663105,43.11921769,C420,,R,4
101,-79.24661648,43.11921131,C419,,R,4
102,-79.24660147,43.11922007,C418,,R,4
103,-79.24657762,43.11923622,C417,,R,4
104,-79.24655615,43.11925188,C416,,R,4
105,-79.24653361,43.11926819,C415,,R,4
106,-79.24651149,43.1192829,C414,,R,4
107,-79.24649035,43.11929984,C412,,R,4
108,-79.24646898,43.11931736,C411,,R,4
109,-79.24643928,43.11933914,C409,,R,4
110,-79.24644261,43.11935069,C408,,R,4
111,-79.24656167,43.11934755,C407,,R,4
112,-79.24663577,43.11939849,C406,,R,4
113,-79.24629272,43.11937612,D400,,R,4
114,-79.24622962,43.11937596,D401,,R,4
115,-79.24619645,43.11937454,D402,,R,4
116,-79.24616263,43.11937311,D403,,R,4
117,-79.24610157,43.11937312,D404,,R,4
118,-79.24634891,43.11930242,D450N,,R,4
119,-79.24635372,43.11929581,D450M,,R,4
120,-79.2463179,43.11930232,D450O,,R,4
121,-79.24631889,43.11929281,D450L,,R,4
122,-79.24626153,43.11930174,D450A,,R,4
123,-79.24623719,43.11930158,D450B,,R,4
124,-79.24616993,43.11930158,D450C,,R,4
125,-79.24613188,43.11930174,D450D,,R,4
126,-79.24610688,43.11930158,D450E,,R,4
127,-79.2462821,43.11929431,D450K,,R,4
128,-79.24620851,43.11929354,D450I,,R,4
129,-79.24618409,43.1192946,D450H,,R,4
130,-79.24613453,43.11929399,D450G,,R,4
131,-79.24611042,43.11929496,D450F,,R,4
132,-79.24596165,43.11934418,D433,,R,4
133,-79.24591478,43.11931265,D431/D432,,R,4
134,-79.24587147,43.11928042,D429,,R,4
135,-79.24583785,43.11925507,D428,,R,4
136,-79.24581572,43.11923795,D426/D427,,R,4
137,-79.24577488,43.11920816,D425,,R,4
138,-79.24576709,43.11920816,D424,,R,4
139,-79.24574736,43.11922664,D423,,R,4
140,-79.24572473,43.11924299,D422,,R,4
141,-79.2457026,43.11925864,D421,,R,4
142,-79.24568183,43.11927578,D420,,R,4
143,-79.24565971,43.11929061,D419,,R,4
144,-79.24563781,43.1193089,D418,,R,4
145,-79.2455641,43.11930536,D417,,R,4
146,-79.24558491,43.11932191,D416,,R,4
147,-79.24560702,43.119339,D415,,R,4
148,-79.24562449,43.11935142,D414,,R,4
149,-79.24564707,43.1193674,D413,Earl Foxwell's office.,R,4
150,-79.24566964,43.11938339,D412,,R,4
151,-79.24571186,43.11941387,D411,,R,4
152,-79.24575069,43.11946199,D410,,R,4
153,-79.24572247,43.11950154,D470,,R,4
154,-79.24576085,43.11947254,D471,,R,4
155,-79.24578004,43.11945787,D472,,R,4
156,-79.24581232,43.11943332,D473,,R,4
157,-79.24582903,43.11942079,D474,,R,4
158,-79.24590308,43.1193651,D408,,R,4
159,-79.24592543,43.1193473,D407,,R,4
160,-79.2458796,43.11930099,D448,,R,4
161,-79.24585431,43.11928484,D447,,R,4
162,-79.24583309,43.1192682,D446,,R,4
163,-79.24580803,43.1192509,D445,,R,4
164,-79.24579449,43.11923903,D444,,R,4
165,-79.24570463,43.11927479,D443,,R,4
166,-79.24566964,43.11929984,D442,,R,4
167,-79.24565881,43.11930857,D441,,R,4
168,-79.24568093,43.11938009,D440,,R,4
169,-79.24571592,43.11940481,D439,,R,4
170,-79.2457832,43.1194348,D438,,R,4
171,-79.24581413,43.11941157,D437,,R,4
172,-79.24586041,43.11937811,D436,,R,4
173,-79.24590375,43.11934516,D435,,R,4
174,-79.24568928,43.1196276,J432,,R,4
175,-79.24566174,43.11964738,J431,,R,4
176,-79.24565045,43.11965661,J429,,R,4
177,-79.24560756,43.11968841,J428,,R,4
178,-79.24559492,43.11969698,J427,,R,4
179,-79.24557685,43.11973208,J425,,R,4
180,-79.2455229,43.1196922,J424,,R,4
181,-79.24551048,43.11968297,J423,,R,4
182,-79.24548294,43.11966237,J422,,R,4
183,-79.24543892,43.1196309,J419,,R,4
184,-79.24542582,43.11962151,J418,,R,4
185,-79.24541476,43.11958657,J415,,R,4
186,-79.24542514,43.11956515,J413,,R,4
187,-79.24543688,43.11955691,J412,,R,4
188,-79.24548068,43.11952642,J411,,R,4
189,-79.245508,43.1195055,J410,,R,4
190,-79.24552358,43.11949198,J407,,R,4
191,-79.24556195,43.11951588,J403,,R,4
192,-79.24558679,43.11953466,J402,,R,4
193,-79.24559966,43.11954323,J401,,R,4
194,-79.24564029,43.11965364,J430,,R,4
195,-79.24548068,43.11964936,J421,,R,4
196,-79.24543147,43.1195938,J414,,R,4
197,-79.24548339,43.11953516,J409A,,R,4
198,-79.24551613,43.11951011,J409A,,R,4
199,-79.2455676,43.1195345,J404,,R,4
200,-79.24561298,43.11956877,J434,,R,4
201,-79.2462572,43.11929418,D450J,,R,4
202,-79.2483424,43.11977674,,,T,3
203,-79.24829356,43.11972406,,,T,3
204,-79.24822653,43.11967153,,,T,3
205,-79.24829215,43.11962261,,,T,3
206,-79.24828862,43.1195827,,,T,3
207,-79.248011,43.11938058,,,T,3
208,-79.24781629,43.11938212,,,T,3
209,-79.24777575,43.11935422,,,T,3
210,-79.24772202,43.11935307,,,T,3
211,-79.24766143,43.11934813,,,T,3
212,-79.24746777,43.11949361,,,T,3
213,-79.24746777,43.11957703,,,T,3
214,-79.24717907,43.11978069,,,T,3
215,-79.24714994,43.11981563,,,T,3
216,-79.24709915,43.11977509,,,S,0
217,-79.24698168,43.11981623,,,T,3
218,-79.24690126,43.11985898,,,T,3
219,-79.24677497,43.11986026,,,T,3
220,-79.24677321,43.11987623,,,T,3
221,-79.24678062,43.12028304,,,T,3
222,-79.24648431,43.12028279,,,T,3
223,-79.24619505,43.12028356,,,T,3
224,-79.24619329,43.12006136,,,T,3
225,-79.24648149,43.12005852,,,T,3
226,-79.24648192,43.1198738,,,T,3
227,-79.24648102,43.11986061,,,T,3
228,-79.2463231,43.11985692,,,T,3
229,-79.24627089,43.11981289,,,T,3
230,-79.24630335,43.11981083,,,T,3
231,-79.24659225,43.11959351,,,T,3
232,-79.24662117,43.11956982,,,T,3
233,-79.24662294,43.11953223,,,T,3
234,-79.24683811,43.11937259,,,T,3
235,-79.24683772,43.11935587,,,T,3
236,-79.24687903,43.1193557,,,T,3
237,-79.2472406,43.11935406,,,T,3
238,-79.2474633,43.11919174,,,T,3
239,-79.24763639,43.1193211,,,T,3
240,-79.24729624,43.11932159,,,T,3
